                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.6661,                  1.827,                  1.575,                0.06301,                0.25975,                0.05213,                0.02804,                 1.3011,                 24.342,                 1.2589,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.6639,                 1.8192,                 1.5846,                0.06371,                0.25754,                0.05251,                0.02822,                  1.301,                 24.281,                 1.2589,               0.004456,               0.004456,               0.004456
                    114,                 1.6581,                 1.8232,                 1.5744,                0.06408,                0.25754,                0.05257,                0.02832,                 1.3005,                  24.25,                  1.258,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.6657,                 1.8266,                 1.5812,                0.06482,                0.25691,                0.05265,                0.02836,                 1.3016,                 24.227,                 1.2582,               0.004357,               0.004357,               0.004357
                    116,                 1.6584,                 1.8146,                 1.5728,                0.06443,                0.25754,                0.05204,                0.02825,                 1.3023,                 24.206,                 1.2581,              0.0043075,              0.0043075,              0.0043075
                    117,                   1.66,                 1.8236,                 1.5687,                0.06229,                0.25078,                0.05211,                0.02828,                  1.302,                 24.179,                 1.2572,               0.004258,               0.004258,               0.004258
                    118,                 1.6472,                 1.7986,                 1.5596,                0.06215,                0.25078,                0.05213,                0.02823,                 1.3032,                 24.134,                 1.2576,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.6486,                 1.7852,                 1.5594,                0.06231,                0.25078,                0.05184,                0.02817,                 1.3045,                 24.137,                 1.2574,               0.004159,               0.004159,               0.004159
                    120,                 1.6397,                 1.7761,                 1.5561,                0.06505,                0.27465,                0.05178,                0.02834,                  1.304,                 24.157,                  1.257,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.6474,                 1.7896,                 1.5664,                0.06502,                0.27763,                0.05153,                0.02821,                 1.3047,                   24.1,                  1.257,                0.00406,                0.00406,                0.00406
                    122,                 1.6451,                 1.7982,                 1.5594,                0.06338,                0.27419,                0.05159,                0.02821,                 1.3061,                 24.103,                 1.2574,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.6455,                 1.7802,                 1.5605,                0.06309,                0.27769,                0.05126,                0.02805,                 1.3053,                  24.07,                 1.2567,               0.003961,               0.003961,               0.003961
                    124,                  1.635,                 1.7717,                 1.5511,                0.06178,                0.27093,                0.05181,                0.02849,                 1.3051,                 24.075,                  1.257,              0.0039115,              0.0039115,              0.0039115
                    125,                  1.635,                 1.7588,                 1.5512,                0.06144,                0.27093,                0.05154,                0.02825,                 1.3056,                 24.054,                  1.257,               0.003862,               0.003862,               0.003862
                    126,                 1.6472,                 1.7827,                 1.5538,                 0.0607,                0.27093,                0.05172,                0.02826,                 1.3061,                 24.082,                 1.2575,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.6334,                 1.7681,                 1.5534,                0.06051,                0.27093,                0.05182,                0.02827,                 1.3069,                 23.957,                 1.2578,               0.003763,               0.003763,               0.003763
                    128,                 1.6254,                 1.7522,                 1.5468,                0.05893,                0.27093,                0.05216,                0.02835,                 1.3072,                  23.94,                 1.2574,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.6294,                 1.7576,                  1.548,                 0.0593,                0.27093,                0.05209,                0.02829,                 1.3071,                 23.943,                 1.2564,               0.003664,               0.003664,               0.003664
                    130,                 1.6204,                 1.7388,                  1.543,                0.05898,                0.27093,                0.05185,                0.02802,                 1.3074,                 23.887,                  1.257,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.6118,                 1.7358,                 1.5365,                 0.0583,                0.27093,                0.05167,                0.02794,                 1.3076,                 23.891,                 1.2579,               0.003565,               0.003565,               0.003565
                    132,                 1.6184,                 1.7532,                 1.5388,                0.05866,                0.27093,                 0.0519,                0.02827,                 1.3062,                 23.905,                 1.2569,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.6168,                 1.7425,                 1.5333,                0.05814,                0.27093,                 0.0526,                0.02862,                 1.3074,                 23.816,                 1.2571,               0.003466,               0.003466,               0.003466
                    134,                 1.6224,                 1.7277,                 1.5337,                 0.0581,                0.27093,                 0.0529,                0.02874,                  1.307,                 23.823,                  1.257,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.6112,                 1.7296,                 1.5332,                0.05794,                0.27536,                 0.0531,                0.02869,                 1.3073,                 23.834,                 1.2573,               0.003367,               0.003367,               0.003367
                    136,                 1.6147,                 1.7164,                 1.5279,                0.05796,                0.27536,                0.05258,                0.02886,                 1.3081,                 23.778,                 1.2576,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.6074,                  1.733,                  1.529,                0.05691,                0.28211,                0.05294,                 0.0289,                 1.3077,                  23.68,                 1.2569,               0.003268,               0.003268,               0.003268
                    138,                 1.6081,                 1.7115,                 1.5239,                0.05783,                0.28211,                0.05262,                0.02859,                 1.3084,                 23.632,                 1.2574,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.6013,                 1.6964,                 1.5205,                0.05676,                0.28211,                0.05252,                0.02861,                 1.3084,                  23.67,                 1.2584,               0.003169,               0.003169,               0.003169
                    140,                 1.6006,                 1.6999,                 1.5224,                 0.0568,                0.28211,                0.05238,                0.02865,                 1.3082,                 23.594,                 1.2585,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.5939,                 1.7089,                 1.5211,                0.05739,                0.28433,                0.05213,                0.02853,                 1.3088,                   23.5,                 1.2583,                0.00307,                0.00307,                0.00307
                    142,                    1.6,                  1.695,                 1.5221,                0.05779,                0.28433,                  0.052,                0.02839,                 1.3081,                 23.448,                 1.2566,              0.0030205,              0.0030205,              0.0030205
